alpha,beta,seed,perception,adversarial_opt_target,shield,selector,fail_rate,stuck_rate,safe_rate,mean_steps,num_trials,fail_rate_ci_low,fail_rate_ci_high,stuck_rate_ci_low,stuck_rate_ci_high,safe_rate_ci_low,safe_rate_ci_high
0.01,0.7,42,uniform,,single_belief,rl,0.5,0.0,0.5,12.9,20,0.27195784956079183,0.7280421504392081,0.0,0.1684334709830853,0.27195784956079183,0.7280421504392081
0.01,0.7,42,uniform,,envelope,rl,0.7,0.05,0.25,8.55,20,0.45721081772371086,0.8810684095942722,0.0012650894979498038,0.24873276277202777,0.08657146910143461,0.49104587170795744
0.01,0.7,42,uniform,,forward_sampling,rl,0.5,0.0,0.5,12.8,20,0.27195784956079183,0.7280421504392081,0.0,0.1684334709830853,0.27195784956079183,0.7280421504392081
0.01,0.7,42,adversarial_opt,envelope,single_belief,rl,0.6,0.0,0.4,11.4,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.7,42,adversarial_opt,envelope,envelope,rl,0.45,0.05,0.5,11.85,20,0.2305778967759241,0.6847218669594515,0.0012650894979498038,0.24873276277202777,0.27195784956079183,0.7280421504392081
0.01,0.7,42,adversarial_opt,envelope,forward_sampling,rl,0.55,0.05,0.4,10.65,20,0.31527813304054847,0.7694221032240758,0.0012650894979498038,0.24873276277202777,0.1911900607253072,0.6394574126925103
0.01,0.7,123,uniform,,single_belief,rl,0.8,0.0,0.2,6.7,20,0.5633859970033317,0.9426660029499672,0.0,0.1684334709830853,0.05733399705003277,0.4366140029966683
0.01,0.7,123,uniform,,envelope,rl,0.55,0.0,0.45,11.65,20,0.31527813304054847,0.7694221032240758,0.0,0.1684334709830853,0.2305778967759241,0.6847218669594515
0.01,0.7,123,uniform,,forward_sampling,rl,0.6,0.05,0.35,9.65,20,0.36054258730748967,0.8088099392746928,0.0012650894979498038,0.24873276277202777,0.15390920478454118,0.5921885345328282
0.01,0.7,123,adversarial_opt,envelope,single_belief,rl,0.8,0.0,0.2,6.9,20,0.5633859970033317,0.9426660029499672,0.0,0.1684334709830853,0.05733399705003277,0.4366140029966683
