fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
0.32,0.5350007174973723,0.14949542261356955,11.92,25,uniform,0.68,0.8505045773864304,0.4649992825026277,random,none,0.0,0.1371851715307125,0.0
0.08,0.2603058421052142,0.00983959001879751,6.24,25,uniform,0.2,0.4070374322786773,0.06831146401248402,random,observation,0.72,0.8792833114959333,0.5061231781937445
0.04,0.203516913922414,0.0010121996993108446,14.4,25,uniform,0.96,0.9989878003006891,0.796483086077586,random,single_belief,0.0,0.1371851715307125,0.0
0.08,0.2603058421052142,0.00983959001879751,11.88,25,uniform,0.72,0.8792833114959333,0.5061231781937445,random,envelope,0.2,0.4070374322786773,0.06831146401248402
0.28,0.49387682180625553,0.12071668850406661,12.72,25,uniform,0.72,0.8792833114959333,0.5061231781937445,best,none,0.0,0.1371851715307125,0.0
0.08,0.2603058421052142,0.00983959001879751,6.92,25,uniform,0.32,0.5350007174973723,0.14949542261356955,best,observation,0.6,0.788745193534858,0.38665349625683987
0.04,0.203516913922414,0.0010121996993108446,14.4,25,uniform,0.96,0.9989878003006891,0.796483086077586,best,single_belief,0.0,0.1371851715307125,0.0
0.04,0.203516913922414,0.0010121996993108446,11.56,25,uniform,0.72,0.8792833114959333,0.5061231781937445,best,envelope,0.24,0.4512880178166864,0.09356443933174285
0.12,0.31219030728623537,0.025465396647733195,14.12,25,uniform,0.88,0.9745346033522668,0.6878096927137646,rl,none,0.0,0.1371851715307125,0.0
0.04,0.203516913922414,0.0010121996993108446,8.44,25,uniform,0.4,0.61334650374316,0.211254806465142,rl,observation,0.56,0.7559763348527919,0.34928163399133577
0.04,0.203516913922414,0.0010121996993108446,14.4,25,uniform,0.96,0.9989878003006891,0.796483086077586,rl,single_belief,0.0,0.1371851715307125,0.0
0.04,0.203516913922414,0.0010121996993108446,12.88,25,uniform,0.8,0.931688535987516,0.5929625677213226,rl,envelope,0.16,0.3608284544592721,0.04537945237170958
0.24,0.4512880178166864,0.09356443933174285,12.28,25,adversarial_opt,0.76,0.9064355606682571,0.5487119821833135,random,none,0.0,0.1371851715307125,0.0
0.08,0.2603058421052142,0.00983959001879751,8.24,25,adversarial_opt,0.36,0.5747936504461505,0.17971682058365537,random,observation,0.56,0.7559763348527919,0.34928163399133577
0.08,0.2603058421052142,0.00983959001879751,13.8,25,adversarial_opt,0.92,0.9901604099812025,0.7396941578947858,random,single_belief,0.0,0.1371851715307125,0.0
0.08,0.2603058421052142,0.00983959001879751,12.04,25,adversarial_opt,0.76,0.9064355606682571,0.5487119821833135,random,envelope,0.16,0.3608284544592721,0.04537945237170958
0.24,0.4512880178166864,0.09356443933174285,12.36,25,adversarial_opt,0.76,0.9064355606682571,0.5487119821833135,best,none,0.0,0.1371851715307125,0.0
0.04,0.203516913922414,0.0010121996993108446,8.28,25,adversarial_opt,0.4,0.61334650374316,0.211254806465142,best,observation,0.56,0.7559763348527919,0.34928163399133577
0.04,0.203516913922414,0.0010121996993108446,14.4,25,adversarial_opt,0.96,0.9989878003006891,0.796483086077586,best,single_belief,0.0,0.1371851715307125,0.0
0.04,0.203516913922414,0.0010121996993108446,12.04,25,adversarial_opt,0.72,0.8792833114959333,0.5061231781937445,best,envelope,0.24,0.4512880178166864,0.09356443933174285
0.12,0.31219030728623537,0.025465396647733195,14.12,25,adversarial_opt,0.88,0.9745346033522668,0.6878096927137646,rl,none,0.0,0.1371851715307125,0.0
0.04,0.203516913922414,0.0010121996993108446,11.04,25,adversarial_opt,0.6,0.788745193534858,0.38665349625683987,rl,observation,0.36,0.5747936504461505,0.17971682058365537
0.04,0.203516913922414,0.0010121996993108446,14.4,25,adversarial_opt,0.96,0.9989878003006891,0.796483086077586,rl,single_belief,0.0,0.1371851715307125,0.0
0.04,0.203516913922414,0.0010121996993108446,12.28,25,adversarial_opt,0.76,0.9064355606682571,0.5487119821833135,rl,envelope,0.2,0.4070374322786773,0.06831146401248402
