fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
0.8,0.899697762527429,0.6628168916165122,10.48,50,uniform,0.2,0.33718310838348775,0.10030223747257107,random,none,0.0,0.07112173646419764,0.0
0.02,0.1064695457114999,0.000506227983040829,0.04,50,uniform,0.0,0.07112173646419764,0.0,random,observation,0.98,0.9994937720169592,0.8935304542885001
0.32,0.4669938401147306,0.19520419466283928,9.94,50,uniform,0.24,0.3816907481040382,0.13060991619745735,random,single_belief,0.44,0.5874558770583268,0.29990722092754357
0.12,0.24310131670556254,0.04533532077366385,10.4,50,uniform,0.32,0.4669938401147306,0.19520419466283928,random,envelope,0.56,0.7000927790724563,0.4125441229416732
0.84,0.9282992328167138,0.7088736934048891,9.12,50,uniform,0.16,0.2911263065951108,0.07170076718328619,best,none,0.0,0.07112173646419764,0.0
0.02,0.1064695457114999,0.000506227983040829,0.04,50,uniform,0.0,0.07112173646419764,0.0,best,observation,0.98,0.9994937720169592,0.8935304542885001
0.16,0.2911263065951108,0.07170076718328619,17.72,50,uniform,0.7,0.821382154335853,0.5539176743388218,best,single_belief,0.14,0.2673960024970084,0.05819170034037209
0.18,0.31436941128565027,0.08576207810966364,8.44,50,uniform,0.2,0.33718310838348775,0.10030223747257107,best,envelope,0.62,0.7534989222001378,0.4717491630528553
0.82,0.9142379218903364,0.6856305887143497,10.86,50,uniform,0.18,0.31436941128565027,0.08576207810966364,rl,none,0.0,0.07112173646419764,0.0
0.02,0.1064695457114999,0.000506227983040829,0.02,50,uniform,0.0,0.07112173646419764,0.0,rl,observation,0.98,0.9994937720169592,0.8935304542885001
0.4,0.5482059715208196,0.2640783950945368,10.26,50,uniform,0.26,0.40344767872806564,0.1463005843965545,rl,single_belief,0.34,0.48765248772158837,0.21205471343538174
0.22,0.3596118885657894,0.11526582603784859,5.68,50,uniform,0.06,0.16548194660377288,0.01254858783533406,rl,envelope,0.72,0.8376893992928247,0.5750946429838912
0.78,0.8847341739621514,0.6403881114342107,11.16,50,adversarial_opt,0.22,0.3596118885657894,0.11526582603784859,random,none,0.0,0.07112173646419764,0.0
0.02,0.1064695457114999,0.000506227983040829,0.16,50,adversarial_opt,0.0,0.07112173646419764,0.0,random,observation,0.98,0.9994937720169592,0.8935304542885001
0.38,0.5282508369471448,0.2465010777998622,11.8,50,adversarial_opt,0.36,0.5080686477143987,0.2291570668205873,random,single_belief,0.26,0.40344767872806564,0.1463005843965545
0.28,0.42490535701610876,0.16231060070717523,8.06,50,adversarial_opt,0.18,0.31436941128565027,0.08576207810966364,random,envelope,0.54,0.6818508214313913,0.3932419761169223
0.84,0.9282992328167138,0.7088736934048891,9.94,50,adversarial_opt,0.16,0.2911263065951108,0.07170076718328619,best,none,0.0,0.07112173646419764,0.0
0.02,0.1064695457114999,0.000506227983040829,0.16,50,adversarial_opt,0.0,0.07112173646419764,0.0,best,observation,0.98,0.9994937720169592,0.8935304542885001
0.2,0.33718310838348775,0.10030223747257107,15.7,50,adversarial_opt,0.6,0.7359216049054632,0.45179402847918043,best,single_belief,0.2,0.33718310838348775,0.10030223747257107
0.18,0.31436941128565027,0.08576207810966364,11.64,50,adversarial_opt,0.3,0.4460823256611783,0.17861784566414687,best,envelope,0.52,0.66339490839654,0.3741519450790943
0.8,0.899697762527429,0.6628168916165122,11.42,50,adversarial_opt,0.2,0.33718310838348775,0.10030223747257107,rl,none,0.0,0.07112173646419764,0.0
0.04,0.1371376256039674,0.004881433426164382,0.12,50,adversarial_opt,0.0,0.07112173646419764,0.0,rl,observation,0.96,0.9951185665738356,0.8628623743960326
0.38,0.5282508369471448,0.2465010777998622,12.86,50,adversarial_opt,0.36,0.5080686477143987,0.2291570668205873,rl,single_belief,0.26,0.40344767872806564,0.1463005843965545
0.16,0.2911263065951108,0.07170076718328619,12.96,50,adversarial_opt,0.34,0.48765248772158837,0.21205471343538174,rl,envelope,0.5,0.6447270028700913,0.3552729971299086
