fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
1.0,1.0,0.9637833073548235,2.9,100,uniform,0.0,0.03621669264517641,0.0,random,none,0.0,0.03621669264517641,0.0
0.06,0.12602993458082296,0.022334886071316368,0.07,100,uniform,0.0,0.03621669264517641,0.0,random,observation,0.94,0.9776651139286836,0.8739700654191771
0.77,0.8482683886989525,0.6751412672248971,7.61,100,uniform,0.22,0.3139196537863178,0.14330357674981445,random,single_belief,0.01,0.054459385392080645,0.00025314603297742064
0.58,0.6780144606452031,0.4771191957239138,10.09,100,uniform,0.36,0.46212189332742326,0.2664084227332345,random,envelope,0.06,0.12602993458082296,0.022334886071316368
1.0,1.0,0.9637833073548235,3.68,100,uniform,0.0,0.03621669264517641,0.0,best,none,0.0,0.03621669264517641,0.0
0.07,0.13891972845585732,0.028605288907438704,0.05,100,uniform,0.0,0.03621669264517641,0.0,best,observation,0.93,0.9713947110925613,0.8610802715441427
0.55,0.6496797707603279,0.44728018877393605,12.24,100,uniform,0.43,0.5328662616751536,0.3313910166313832,best,single_belief,0.02,0.07038393247107011,0.0024313368239425423
0.51,0.6113558348383622,0.40803632915545374,10.93,100,uniform,0.37,0.47235164055168316,0.2755665796145515,best,envelope,0.12,0.20023568361996882,0.06356890256115931
0.95,0.9835681208179479,0.8871650888945373,7.51,100,uniform,0.05,0.11283491110546275,0.016431879182052155,rl,none,0.0,0.03621669264517641,0.0
0.09,0.1639822550296352,0.041983595628392247,0.13,100,uniform,0.0,0.03621669264517641,0.0,rl,observation,0.91,0.9580164043716077,0.8360177449703647
0.68,0.769780083238423,0.5792331383683775,10.52,100,uniform,0.31,0.41031455416019924,0.22128879213067107,rl,single_belief,0.01,0.054459385392080645,0.00025314603297742064
0.61,0.7059895851465829,0.5073144796323634,9.81,100,uniform,0.35,0.4518493618239694,0.25729377853145113,rl,envelope,0.04,0.09925715671265992,0.011004493986188198
1.0,1.0,0.9637833073548235,2.89,100,adversarial_opt,0.0,0.03621669264517641,0.0,random,none,0.0,0.03621669264517641,0.0
0.03,0.08517605297428002,0.006229971538306395,0.06,100,adversarial_opt,0.0,0.03621669264517641,0.0,random,observation,0.97,0.9937700284616936,0.91482394702572
0.68,0.769780083238423,0.5792331383683775,9.4,100,adversarial_opt,0.31,0.41031455416019924,0.22128879213067107,random,single_belief,0.01,0.054459385392080645,0.00025314603297742064
0.62,0.7152325238585204,0.5174606942491935,9.91,100,adversarial_opt,0.34,0.4415332677509589,0.24822350154484418,random,envelope,0.04,0.09925715671265992,0.011004493986188198
1.0,1.0,0.9637833073548235,3.05,100,adversarial_opt,0.0,0.03621669264517641,0.0,best,none,0.0,0.03621669264517641,0.0
0.06,0.12602993458082296,0.022334886071316368,0.06,100,adversarial_opt,0.0,0.03621669264517641,0.0,best,observation,0.94,0.9776651139286836,0.8739700654191771
0.55,0.6496797707603279,0.44728018877393605,12.54,100,adversarial_opt,0.44,0.5428125029366824,0.34083602372345834,best,single_belief,0.01,0.054459385392080645,0.00025314603297742064
0.54,0.640156647020588,0.4374115798664712,10.54,100,adversarial_opt,0.35,0.4518493618239694,0.25729377853145113,best,envelope,0.11,0.18830113219644257,0.05620702028548746
0.98,0.9975686631760574,0.9296160675289299,7.33,100,adversarial_opt,0.02,0.07038393247107011,0.0024313368239425423,rl,none,0.0,0.03621669264517641,0.0
0.05,0.11283491110546275,0.016431879182052155,0.05,100,adversarial_opt,0.0,0.03621669264517641,0.0,rl,observation,0.95,0.9835681208179479,0.8871650888945373
0.7,0.7875935795104634,0.6001853238201958,9.33,100,adversarial_opt,0.29,0.3892659589074483,0.2035741892507318,rl,single_belief,0.01,0.054459385392080645,0.00025314603297742064
0.55,0.6496797707603279,0.44728018877393605,10.85,100,adversarial_opt,0.4,0.5027908495776652,0.3032947687028774,rl,envelope,0.05,0.11283491110546275,0.016431879182052155
