fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
1.0,1.0,0.9817246596448638,3.375,200,uniform,0.0,0.01827534035513624,0.0,random,none,0.0,0.01827534035513624,0.0
0.73,0.7901966625338547,0.6628474093126695,10.74,200,uniform,0.27,0.3371525906873305,0.2098033374661453,random,observation,0.0,0.01827534035513624,0.0
0.625,0.6922861517823592,0.5539486258174144,12.765,200,uniform,0.375,0.4460513741825854,0.3077138482176408,random,single_belief,0.0,0.01827534035513624,0.0
0.4,0.47146432720295395,0.33154626373563956,8.54,200,uniform,0.185,0.24586346244867838,0.13372866017976162,random,envelope,0.415,0.48662468561680267,0.34593366818078025
0.535,0.6056472647385431,0.4632998577883211,9.1,200,uniform,0.205,0.26765392078528516,0.15131057199551948,random,forward_sampling,0.26,0.3265777536571397,0.20068485487634058
0.665,0.7300208448426302,0.5950033586505903,11.81,200,uniform,0.335,0.4049966413494097,0.26997915515736975,random,conformal_prediction,0.0,0.01827534035513624,0.0
0.995,0.999873418972133,0.9724581015427943,3.815,200,uniform,0.005,0.02754189845720562,0.00012658102786701825,best,none,0.0,0.01827534035513624,0.0
0.735,0.7947609086140769,0.6681299077913818,11.14,200,uniform,0.265,0.3318700922086182,0.2052390913859232,best,observation,0.0,0.01827534035513624,0.0
0.585,0.6540663318192197,0.5133753143831974,13.185,200,uniform,0.41,0.4815784147872211,0.3411306456714677,best,single_belief,0.005,0.02754189845720562,0.00012658102786701825
0.375,0.4460513741825854,0.3077138482176408,8.595,200,uniform,0.205,0.26765392078528516,0.15131057199551948,best,envelope,0.42,0.49166382512261975,0.350743857791056
0.42,0.49166382512261975,0.350743857791056,10.36,200,uniform,0.26,0.3265777536571397,0.20068485487634058,best,forward_sampling,0.32,0.38946988506165814,0.2559611876399578
0.615,0.6827754746371323,0.5437613072168548,12.9,200,uniform,0.385,0.4562386927831452,0.31722452536286755,best,conformal_prediction,0.0,0.01827534035513624,0.0
1.0,1.0,0.9817246596448638,3.735,200,uniform,0.0,0.01827534035513624,0.0,rl,none,0.0,0.01827534035513624,0.0
0.78,0.8353639386882141,0.7161387526864924,10.61,200,uniform,0.22,0.2838612473135075,0.16463606131178593,rl,observation,0.0,0.01827534035513624,0.0
0.635,0.7017665736329881,0.5641659702100028,12.595,200,uniform,0.365,0.4358340297899972,0.29823342636701194,rl,single_belief,0.0,0.01827534035513624,0.0
0.385,0.4562386927831452,0.31722452536286755,7.93,200,uniform,0.13,0.18465233052341257,0.0867083527685753,rl,envelope,0.485,0.5565363642507839,0.41391482961504394
0.455,0.5267407524810115,0.38461304203891705,10.155,200,uniform,0.225,0.2892396059687647,0.1691025471298266,rl,forward_sampling,0.32,0.38946988506165814,0.2559611876399578
0.75,0.8083928303774125,0.6840371666701309,11.09,200,uniform,0.25,0.3159628333298691,0.19160716962258742,rl,conformal_prediction,0.0,0.01827534035513624,0.0
1.0,1.0,0.9817246596448638,3.06,200,adversarial_opt,0.0,0.01827534035513624,0.0,random,none,0.0,0.01827534035513624,0.0
0.71,0.7718430106364881,0.6418125478377089,11.04,200,adversarial_opt,0.29,0.3581874521622911,0.2281569893635119,random,observation,0.0,0.01827534035513624,0.0
0.635,0.7017665736329881,0.5641659702100028,12.27,200,adversarial_opt,0.365,0.4358340297899972,0.29823342636701194,random,single_belief,0.0,0.01827534035513624,0.0
0.455,0.5267407524810115,0.38461304203891705,9.54,200,adversarial_opt,0.23,0.29460639456598076,0.1735808628015912,random,envelope,0.315,0.38427769772542714,0.2513053256545178
0.525,0.5958799665750213,0.453368017470324,10.15,200,adversarial_opt,0.25,0.3159628333298691,0.19160716962258742,random,forward_sampling,0.225,0.2892396059687647,0.1691025471298266
0.645,0.7112162222864155,0.5744138330734203,11.805,200,adversarial_opt,0.355,0.42558616692657963,0.2887837777135845,random,conformal_prediction,0.0,0.01827534035513624,0.0
1.0,1.0,0.9817246596448638,3.005,200,adversarial_opt,0.0,0.01827534035513624,0.0,best,none,0.0,0.01827534035513624,0.0
0.7,0.7626103559245527,0.6313501245409987,11.575,200,adversarial_opt,0.3,0.3686498754590013,0.23738964407544727,best,observation,0.0,0.01827534035513624,0.0
0.525,0.5958799665750213,0.453368017470324,13.59,200,adversarial_opt,0.475,0.5466319825296759,0.4041200334249787,best,single_belief,0.0,0.01827534035513624,0.0
0.335,0.4049966413494097,0.26997915515736975,9.45,200,adversarial_opt,0.23,0.29460639456598076,0.1735808628015912,best,envelope,0.435,0.5067387921875273,0.3652170691696518
0.345,0.4153072390103893,0.2793654759715659,11.11,200,adversarial_opt,0.36,0.43071394601871726,0.29350472089116675,best,forward_sampling,0.295,0.36342313331791043,0.23276878422312466
0.67,0.7347017965274382,0.6001707396669452,12.155,200,adversarial_opt,0.33,0.39982926033305477,0.2652982034725618,best,conformal_prediction,0.0,0.01827534035513624,0.0
0.995,0.999873418972133,0.9724581015427943,4.12,200,adversarial_opt,0.005,0.02754189845720562,0.00012658102786701825,rl,none,0.0,0.01827534035513624,0.0
0.855,0.9006913774447924,0.7984385038268202,9.785,200,adversarial_opt,0.145,0.20156149617317973,0.09930862255520755,rl,observation,0.0,0.01827534035513624,0.0
0.63,0.6970301757287629,0.5590535152152594,11.625,200,adversarial_opt,0.365,0.4358340297899972,0.29823342636701194,rl,single_belief,0.005,0.02754189845720562,0.00012658102786701825
0.445,0.5167536888074263,0.37490109471850996,9.56,200,adversarial_opt,0.22,0.2838612473135075,0.16463606131178593,rl,envelope,0.335,0.4049966413494097,0.26997915515736975
0.525,0.5958799665750213,0.453368017470324,10.485,200,adversarial_opt,0.24,0.3053062856471394,0.18257190389247274,rl,forward_sampling,0.235,0.29996187264724905,0.17807073460068762
0.745,0.8038591847995418,0.6787246033612795,10.79,200,adversarial_opt,0.255,0.3212753966387205,0.19614081520045817,rl,conformal_prediction,0.0,0.01827534035513624,0.0
