beta,action_filter,method,confidence_level,fail_rate,stuck_rate,safe_rate,mean_steps,mean_stuck_count,intervention_rate,mean_conformal_cartesian_size
0.5,0.5,single_belief,,0.8,0.0,0.2,16.31,0.0,0.05027590435315757,0.0
0.5,0.5,envelope,,0.48,0.45,0.07,10.58,0.38,0.06143667296786389,0.0
0.5,0.5,forward_sampling,,0.58,0.18,0.24,16.65,0.18,0.057057057057057055,0.0
0.5,0.5,cp_control_conformal,0.95,0.63,0.14,0.23,17.64,0.14,0.1349206349206349,1.6788526434195725
0.5,0.5,cp_control_conformal,0.99,0.03,0.97,0.0,1.4,0.97,0.5857142857142857,6.713080168776371
0.5,0.5,cp_control_conformal,0.995,0.01,0.99,0.0,0.44,0.99,0.7272727272727273,8.713286713286713
0.7,0.7,single_belief,,0.68,0.0,0.32,18.02,0.0,0.05715871254162042,0.0
0.7,0.7,envelope,,0.45,0.49,0.06,10.61,0.34,0.06786050895381715,0.0
0.7,0.7,forward_sampling,,0.58,0.25,0.17,15.07,0.25,0.0650298606502986,0.0
0.7,0.7,cp_control_conformal,0.95,0.63,0.14,0.23,17.64,0.14,0.1349206349206349,1.6788526434195725
0.7,0.7,cp_control_conformal,0.99,0.03,0.97,0.0,1.4,0.97,0.5857142857142857,6.713080168776371
0.7,0.7,cp_control_conformal,0.995,0.01,0.99,0.0,0.44,0.99,0.7272727272727273,8.713286713286713
0.8,0.8,single_belief,,0.72,0.01,0.27,17.36,0.01,0.06394009216589862,0.0
0.8,0.8,envelope,,0.4,0.51,0.09,11.09,0.39,0.08746618575293057,0.0
0.8,0.8,forward_sampling,,0.55,0.31,0.14,13.96,0.31,0.06088825214899714,0.0
0.8,0.8,cp_control_conformal,0.95,0.59,0.23,0.18,13.65,0.23,0.15604395604395604,1.6462536023054755
0.8,0.8,cp_control_conformal,0.99,0.01,0.99,0.0,0.84,0.99,0.5476190476190477,6.579234972677596
0.8,0.8,cp_control_conformal,0.995,0.0,1.0,0.0,0.3,1.0,0.7333333333333333,8.992307692307692
0.95,0.95,single_belief,,0.67,0.07,0.26,16.11,0.07,0.07014276846679081,0.0
0.95,0.95,envelope,,0.28,0.66,0.06,8.4,0.52,0.12261904761904761,0.0
0.95,0.95,forward_sampling,,0.39,0.49,0.12,11.56,0.49,0.11418685121107267,0.0
0.95,0.95,cp_control_conformal,0.95,0.0,1.0,0.0,0.74,1.0,0.8648648648648649,1.8045977011494252
0.95,0.95,cp_control_conformal,0.99,0.0,1.0,0.0,0.01,1.0,1.0,7.376237623762377
0.95,0.95,cp_control_conformal,0.995,0.0,1.0,0.0,0.0,1.0,0.0,9.78
