beta,action_filter,method,confidence_level,fail_rate,stuck_rate,safe_rate,mean_steps,mean_stuck_count,intervention_rate,mean_conformal_cartesian_size
0.5,0.5,single_belief,,0.67,0.0,0.33,17.67,0.0,0.045274476513865305,0.0
0.5,0.5,envelope,,0.42,0.48,0.1,11.93,0.45,0.053646269907795474,0.0
0.5,0.5,forward_sampling,,0.53,0.36,0.11,13.56,0.36,0.05383480825958702,0.0
0.5,0.5,cp_control_conformal,0.95,0.71,0.0,0.29,17.27,0.0,0.05906195715112913,1.294151708164447
0.5,0.5,cp_control_conformal,0.99,0.24,0.74,0.02,6.76,0.74,0.25443786982248523,3.092
0.5,0.5,cp_control_conformal,0.995,0.09,0.91,0.0,3.95,0.91,0.5392405063291139,4.895061728395062
0.6,0.6,single_belief,,0.72,0.0,0.28,17.52,0.0,0.046232876712328765,0.0
0.6,0.6,envelope,,0.45,0.41,0.14,12.77,0.34,0.05716523101018011,0.0
0.6,0.6,forward_sampling,,0.45,0.35,0.2,14.69,0.35,0.05922396187882913,0.0
0.6,0.6,cp_control_conformal,0.95,0.71,0.0,0.29,17.27,0.0,0.05906195715112913,1.294151708164447
0.6,0.6,cp_control_conformal,0.99,0.24,0.74,0.02,6.76,0.74,0.25443786982248523,3.092
0.6,0.6,cp_control_conformal,0.995,0.09,0.91,0.0,3.95,0.91,0.5392405063291139,4.895061728395062
0.7,0.7,single_belief,,0.69,0.0,0.31,17.58,0.0,0.05005688282138794,0.0
0.7,0.7,envelope,,0.39,0.45,0.16,12.53,0.37,0.04948124501197127,0.0
0.7,0.7,forward_sampling,,0.59,0.26,0.15,14.37,0.26,0.059846903270702856,0.0
0.7,0.7,cp_control_conformal,0.95,0.71,0.0,0.29,17.27,0.0,0.05906195715112913,1.294151708164447
0.7,0.7,cp_control_conformal,0.99,0.24,0.74,0.02,6.76,0.74,0.25443786982248523,3.092
0.7,0.7,cp_control_conformal,0.995,0.09,0.91,0.0,3.95,0.91,0.5392405063291139,4.895061728395062
0.8,0.8,single_belief,,0.61,0.02,0.37,19.23,0.02,0.04784191367654706,0.0
0.8,0.8,envelope,,0.4,0.5,0.1,12.03,0.39,0.060681629260182876,0.0
0.8,0.8,forward_sampling,,0.5,0.4,0.1,12.76,0.4,0.07366771159874608,0.0
0.8,0.8,cp_control_conformal,0.95,0.74,0.0,0.26,16.45,0.0,0.09604863221884498,1.3112462006079026
0.8,0.8,cp_control_conformal,0.99,0.09,0.91,0.0,3.13,0.91,0.31309904153354634,3.4430693069306932
0.8,0.8,cp_control_conformal,0.995,0.02,0.98,0.0,0.6,0.98,0.3333333333333333,5.968354430379747
0.9,0.9,single_belief,,0.63,0.05,0.32,17.75,0.05,0.04112676056338028,0.0
0.9,0.9,envelope,,0.39,0.53,0.08,10.9,0.43,0.06422018348623854,0.0
0.9,0.9,forward_sampling,,0.46,0.41,0.13,12.37,0.41,0.08164915117219078,0.0
0.9,0.9,cp_control_conformal,0.95,0.07,0.92,0.01,4.37,0.92,0.2471395881006865,1.3610586011342154
0.9,0.9,cp_control_conformal,0.99,0.01,0.99,0.0,0.62,0.99,0.11290322580645161,3.4906832298136647
0.9,0.9,cp_control_conformal,0.995,0.0,1.0,0.0,0.23,1.0,0.08695652173913043,5.357723577235772
0.95,0.95,single_belief,,0.64,0.06,0.3,17.7,0.06,0.05875706214689266,0.0
0.95,0.95,envelope,,0.34,0.56,0.1,11.62,0.41,0.08950086058519793,0.0
0.95,0.95,forward_sampling,,0.47,0.43,0.1,11.55,0.43,0.07878787878787878,0.0
0.95,0.95,cp_control_conformal,0.95,0.0,1.0,0.0,2.91,1.0,0.9759450171821306,1.289002557544757
0.95,0.95,cp_control_conformal,0.99,0.0,1.0,0.0,0.2,1.0,1.0,3.7916666666666665
0.95,0.95,cp_control_conformal,0.995,0.0,1.0,0.0,0.01,1.0,1.0,6.0
